reference_id	species	protein	gene	group	transcript	cds_start_zero_based	cds_length	product
AD|XP_031366216.1	AD	XP_031366216.1	LOC102679372	OG0003938	XM_031510356.1	15	1602	XP_031366216.1 synaptonemal complex protein 1-like [Apis dorsata]
AD|XP_031366217.1	AD	XP_031366217.1	LOC102681421	OG0003912	XM_031510357.1	267	1521	XP_031366217.1 DDB1- and CUL4-associated factor 11 isoform X1 [Apis dorsata]
AD|XP_031366220.1	AD	XP_031366220.1	LOC102679249	OG0008020	XM_031510360.1	354	1461	XP_031366220.1 locomotion-related protein Hikaru genki [Apis dorsata]
AD|XP_031366225.1	AD	XP_031366225.1	LOC116185613	OG0006031	XM_031510365.1	64	762	XP_031366225.1 uncharacterized protein LOC116185613 [Apis dorsata]
AD|XP_031366227.1	AD	XP_031366227.1	LOC102670709	OG0003750	XM_031510367.1	0	2352	XP_031366227.1 uncharacterized protein LOC102670709 isoform X1 [Apis dorsata]
AD|XP_031366239.1	AD	XP_031366239.1	LOC102678632	OG0001814	XM_031510379.1	314	1548	XP_031366239.1 LOW QUALITY PROTEIN: tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like [Apis dorsata]
AD|XP_031366240.1	AD	XP_031366240.1	LOC102676556	OG0003770	XM_031510380.1	56	648	XP_031366240.1 sesquipedalian-1-like [Apis dorsata]
AD|XP_031366241.1	AD	XP_031366241.1	LOC102677795	OG0003796	XM_031510381.1	263	3861	XP_031366241.1 uncharacterized protein LOC102677795 [Apis dorsata]
AD|XP_031366242.1	AD	XP_031366242.1	LOC102670846	OG0005194	XM_031510382.1	239	1260	XP_031366242.1 corepressor interacting with RBPJ 1 [Apis dorsata]
AD|XP_031366244.1	AD	XP_031366244.1	LOC116185614	OG0003862	XM_031510384.1	777	1209	XP_031366244.1 uncharacterized protein LOC116185614 isoform X1 [Apis dorsata]
AD|XP_031366249.1	AD	XP_031366249.1	LOC102672443	OG0003976	XM_031510389.1	22	2634	XP_031366249.1 LOW QUALITY PROTEIN: uncharacterized protein LOC102672443 [Apis dorsata]
AD|XP_031366250.1	AD	XP_031366250.1	LOC102670573	OG0003742	XM_031510390.1	159	1164	XP_031366250.1 uncharacterized protein LOC102670573 [Apis dorsata]
AD|XP_031366251.1	AD	XP_031366251.1	LOC102671292	OG0008919	XM_031510391.1	32	1176	XP_031366251.1 IQ and ubiquitin-like domain-containing protein [Apis dorsata]
AD|XP_031366262.1	AD	XP_031366262.1	LOC102672805	OG0008018	XM_031510402.1	211	1323	XP_031366262.1 homogentisate 1,2-dioxygenase [Apis dorsata]
AD|XP_031366264.1	AD	XP_031366264.1	LOC102672940	OG0008314	XM_031510404.1	1361	1545	XP_031366264.1 uncharacterized protein DDB_G0271670 [Apis dorsata]
AD|XP_031366266.1	AD	XP_031366266.1	LOC116185618	OG0009438	XM_031510406.1	0	792	XP_031366266.1 LOW QUALITY PROTEIN: uncharacterized protein LOC116185618, partial [Apis dorsata]
AD|XP_031366268.1	AD	XP_031366268.1	LOC102673944	OG0000054	XM_031510408.1	535	1107	XP_031366268.1 lactosylceramide 4-alpha-galactosyltransferase-like isoform X1 [Apis dorsata]
AD|XP_031366269.1	AD	XP_031366269.1	LOC116185619	OG0009512	XM_031510409.1	0	237	XP_031366269.1 transmembrane protein 258, partial [Apis dorsata]
AD|XP_031366270.1	AD	XP_031366270.1	LOC102672444	OG0007187	XM_031510410.1	719	4062	XP_031366270.1 protein son of sevenless isoform X1 [Apis dorsata]
AD|XP_031366276.1	AD	XP_031366276.1	LOC102670934	OG0008761	XM_031510416.1	217	1551	XP_031366276.1 putative fatty acyl-CoA reductase CG5065 isoform X1 [Apis dorsata]
AD|XP_031366280.1	AD	XP_031366280.1	LOC116184849	OG0004256	XM_031510420.1	185	1521	XP_031366280.1 putative fatty acyl-CoA reductase CG8306 [Apis dorsata]
AD|XP_031366281.1	AD	XP_031366281.1	LOC102679453	OG0000022	XM_031510421.1	215	1509	XP_031366281.1 putative fatty acyl-CoA reductase CG5065 [Apis dorsata]
AD|XP_031366282.1	AD	XP_031366282.1	LOC102679329	OG0000482	XM_031510422.1	272	1470	XP_031366282.1 putative fatty acyl-CoA reductase CG5065 isoform X1 [Apis dorsata]
AD|XP_031366285.1	AD	XP_031366285.1	LOC102672064	OG0004248	XM_031510425.1	178	1245	XP_031366285.1 uncharacterized protein LOC102672064 isoform X1 [Apis dorsata]
AD|XP_031366290.1	AD	XP_031366290.1	LOC102674129	OG0004247	XM_031510430.1	5	3525	XP_031366290.1 myelin regulatory factor-like protein isoform X1 [Apis dorsata]
AD|XP_031366293.1	AD	XP_031366293.1	LOC102679017	OG0004265	XM_031510433.1	0	1392	XP_031366293.1 uncharacterized protein LOC102679017 isoform X1 [Apis dorsata]
AD|XP_031366294.1	AD	XP_031366294.1	LOC102670730	OG0002562	XM_031510434.1	1921	1737	XP_031366294.1 uncharacterized protein LOC102670730 [Apis dorsata]
AD|XP_031366303.1	AD	XP_031366303.1	LOC102673291	OG0006115	XM_031510443.1	264	1107	XP_031366303.1 lachesin isoform X2 [Apis dorsata]
AD|XP_031366305.1	AD	XP_031366305.1	LOC102673555	OG0004269	XM_031510445.1	87	1740	XP_031366305.1 tyrosine-protein phosphatase non-receptor type 5-like isoform X1 [Apis dorsata]
AD|XP_031366306.1	AD	XP_031366306.1	LOC116185623	OG0005321	XM_031510446.1	84	1119	XP_031366306.1 DNA repair protein RAD50-like [Apis dorsata]
AD|XP_031366311.1	AD	XP_031366311.1	LOC102675979	OG0000340	XM_031510451.1	30	4002	XP_031366311.1 uncharacterized protein LOC102675979 [Apis dorsata]
AD|XP_031366312.1	AD	XP_031366312.1	LOC102677384	OG0008366	XM_031510452.1	269	1821	XP_031366312.1 tudor and KH domain-containing protein homolog [Apis dorsata]
AD|XP_031366314.1	AD	XP_031366314.1	LOC116185624	OG0001046	XM_031510454.1	0	1434	XP_031366314.1 feline leukemia virus subgroup C receptor-related protein 2-like [Apis dorsata]
AD|XP_031366316.1	AD	XP_031366316.1	LOC116185625	OG0009025	XM_031510456.1	1180	312	XP_031366316.1 uncharacterized protein LOC116185625 [Apis dorsata]
AD|XP_031366317.1	AD	XP_031366317.1	LOC102676046	OG0000372	XM_031510457.1	599	876	XP_031366317.1 uncharacterized protein LOC102676046 [Apis dorsata]
AD|XP_031366325.1	AD	XP_031366325.1	LOC116185629	OG0004240	XM_031510465.1	409	381	XP_031366325.1 uncharacterized protein LOC116185629 [Apis dorsata]
AD|XP_031366332.1	AD	XP_031366332.1	LOC102675316	OG0000646	XM_031510472.1	336	1932	XP_031366332.1 sodium- and chloride-dependent GABA transporter 1-like [Apis dorsata]
AD|XP_031366333.1	AD	XP_031366333.1	LOC102677796	OG0006197	XM_031510473.1	823	1608	XP_031366333.1 glucose-6-phosphate exchanger SLC37A2 isoform X1 [Apis dorsata]
AD|XP_031366336.1	AD	XP_031366336.1	LOC102679787	OG0005347	XM_031510476.1	198	816	XP_031366336.1 ankyrin repeat domain-containing protein 16-like [Apis dorsata]
AD|XP_031366337.1	AD	XP_031366337.1	LOC102676557	OG0007282	XM_031510477.1	564	1917	XP_031366337.1 synaptotagmin-3 [Apis dorsata]
AD|XP_031366341.1	AD	XP_031366341.1	LOC102680982	OG0003566	XM_031510481.1	669	2973	XP_031366341.1 uncharacterized protein LOC102680982 [Apis dorsata]
AD|XP_031366347.1	AD	XP_031366347.1	LOC102675044	OG0003576	XM_031510487.1	216	5751	XP_031366347.1 uncharacterized protein LOC102675044 [Apis dorsata]
AD|XP_031366349.1	AD	XP_031366349.1	LOC102676821	OG0009610	XM_031510489.1	0	453	XP_031366349.1 chymotrypsin-1-like [Apis dorsata]
AD|XP_031366350.1	AD	XP_031366350.1	LOC102676959	OG0009591	XM_031510490.1	0	1797	XP_031366350.1 laccase-4-like [Apis dorsata]
AD|XP_031366359.1	AD	XP_031366359.1	LOC116185632		XM_031510499.1	368	324	XP_031366359.1 uncharacterized protein LOC116185632 [Apis dorsata]
AD|XP_031366360.1	AD	XP_031366360.1	LOC102671362	OG0007064	XM_031510500.1	497	6135	XP_031366360.1 myotubularin-related protein 13 isoform X1 [Apis dorsata]
AD|XP_031366361.1	AD	XP_031366361.1	LOC102678445	OG0006227	XM_031510501.1	124	2436	XP_031366361.1 DNA replication licensing factor Mcm6 [Apis dorsata]
AD|XP_031366362.1	AD	XP_031366362.1	LOC102681284	OG0009131	XM_031510502.1	27	2610	XP_031366362.1 LOW QUALITY PROTEIN: uncharacterized protein LOC102681284 [Apis dorsata]
AD|XP_031366366.1	AD	XP_031366366.1	LOC102681156	OG0005748	XM_031510506.1	73	1368	XP_031366366.1 urea transporter 1-like isoform X1 [Apis dorsata]
AD|XP_031366369.1	AD	XP_031366369.1	LOC102679995	OG0008631	XM_031510509.1	249	4074	XP_031366369.1 microtubule-associated protein 4 [Apis dorsata]
AD|XP_031366370.1	AD	XP_031366370.1	LOC102679289	OG0000396	XM_031510510.1	116	1428	XP_031366370.1 facilitated trehalose transporter Tret1-like [Apis dorsata]
AD|XP_031366373.1	AD	XP_031366373.1	LOC102678029		XM_031510513.1	430	672	XP_031366373.1 collagen alpha chain CG42342-like isoform X1 [Apis dorsata]
AD|XP_031366375.1	AD	XP_031366375.1	LOC102671536	OG0002501	XM_031510515.1	275	3234	XP_031366375.1 thyrotropin-releasing hormone-degrading ectoenzyme-like isoform X1 [Apis dorsata]
AD|XP_031366378.1	AD	XP_031366378.1	LOC102672980	OG0006212	XM_031510518.1	289	789	XP_031366378.1 acidic leucine-rich nuclear phosphoprotein 32 family member A isoform X1 [Apis dorsata]
AD|XP_031366379.1	AD	XP_031366379.1	LOC102681969	OG0000007	XM_031510519.1	27	912	XP_031366379.1 pancreatic triacylglycerol lipase-like [Apis dorsata]
AD|XP_031366384.1	AD	XP_031366384.1	LOC116185639	OG0002495	XM_031510524.1	1	849	XP_031366384.1 uncharacterized protein LOC116185639, partial [Apis dorsata]
AD|XP_031366385.1	AD	XP_031366385.1	LOC116185640	OG0002496	XM_031510525.1	808	1986	XP_031366385.1 uncharacterized protein LOC116185640 [Apis dorsata]
AD|XP_031366390.1	AD	XP_031366390.1	LOC116185643	OG0008910	XM_031510530.1	953	474	XP_031366390.1 uncharacterized protein LOC116185643 isoform X1 [Apis dorsata]
AD|XP_031366392.1	AD	XP_031366392.1	LOC102674828	OG0002507	XM_031510532.1	318	2016	XP_031366392.1 MATH and LRR domain-containing protein PFE0570w-like [Apis dorsata]
AD|XP_031366394.1	AD	XP_031366394.1	LOC102672872	OG0002172	XM_031510534.1	117	885	XP_031366394.1 neural/ectodermal development factor IMP-L2 isoform X1 [Apis dorsata]
AD|XP_031366397.1	AD	XP_031366397.1	LOC116185646		XM_031510537.1	341	834	XP_031366397.1 uncharacterized protein LOC116185646 [Apis dorsata]
AD|XP_031366398.1	AD	XP_031366398.1	LOC102676228	OG0002097	XM_031510538.1	574	1842	XP_031366398.1 palmitoyltransferase Hip14 isoform X1 [Apis dorsata]
AD|XP_031366405.1	AD	XP_031366405.1	LOC116185647		XM_031510545.1	24	318	XP_031366405.1 uncharacterized protein LOC116185647 [Apis dorsata]
AD|XP_031366406.1	AD	XP_031366406.1	LOC116185648	OG0005776	XM_031510546.1	310	984	XP_031366406.1 Krueppel-like factor luna [Apis dorsata]
AD|XP_031366407.1	AD	XP_031366407.1	LOC102677386	OG0002774	XM_031510547.1	100	2055	XP_031366407.1 chromatin assembly factor 1 subunit A-B [Apis dorsata]
AD|XP_031366412.1	AD	XP_031366412.1	LOC102677846	OG0000294	XM_031510552.1	367	858	XP_031366412.1 zinc finger protein Noc-like [Apis dorsata]
AD|XP_031366413.1	AD	XP_031366413.1	LOC116184851	OG0000294	XM_031510553.1	0	549	XP_031366413.1 zinc finger protein Noc-like [Apis dorsata]
AD|XP_031366415.1	AD	XP_031366415.1	LOC102678847	OG0005760	XM_031510555.1	597	17838	XP_031366415.1 histone-lysine N-methyltransferase 2C-like isoform X1 [Apis dorsata]
AD|XP_031366435.1	AD	XP_031366435.1	LOC102680213	OG0007191	XM_031510575.1	137	2037	XP_031366435.1 RNA polymerase II-associated protein 3 [Apis dorsata]
AD|XP_031366436.1	AD	XP_031366436.1	LOC102680477	OG0003878	XM_031510576.1	139	2544	XP_031366436.1 pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 [Apis dorsata]
AD|XP_031366438.1	AD	XP_031366438.1	LOC116185653	OG0009003	XM_031510578.1	85	747	XP_031366438.1 uncharacterized protein C1orf158-like [Apis dorsata]
AD|XP_031366439.1	AD	XP_031366439.1	LOC116185654		XM_031510579.1	542	324	XP_031366439.1 uncharacterized protein LOC116185654 isoform X1 [Apis dorsata]
AD|XP_031366441.1	AD	XP_031366441.1	LOC102681680	OG0003303	XM_031510581.1	27	480	XP_031366441.1 homeobox protein onecut [Apis dorsata]
AD|XP_031366442.1	AD	XP_031366442.1	LOC102671210	OG0001330	XM_031510582.1	102	1062	XP_031366442.1 LOW QUALITY PROTEIN: homeotic protein antennapedia-like [Apis dorsata]
AD|XP_031366443.1	AD	XP_031366443.1	LOC102675153	OG0006314	XM_031510583.1	771	1434	XP_031366443.1 uncharacterized protein LOC102675153 isoform X1 [Apis dorsata]
AD|XP_031366445.1	AD	XP_031366445.1	LOC102673601	OG0000236	XM_031510585.1	3	2799	XP_031366445.1 calponin homology domain-containing protein DDB_G0272472-like [Apis dorsata]
AD|XP_031366448.1	AD	XP_031366448.1	LOC102674299	OG0000147	XM_031510588.1	273	1314	XP_031366448.1 uncharacterized protein LOC102674299 [Apis dorsata]
AD|XP_031366449.1	AD	XP_031366449.1	LOC102674881	OG0007083	XM_031510589.1	242	2283	XP_031366449.1 exocyst complex component 6B [Apis dorsata]
AD|XP_031366452.1	AD	XP_031366452.1	LOC102674031	OG0005660	XM_031510592.1	407	2175	XP_031366452.1 zinc finger BED domain-containing protein 1-like [Apis dorsata]
AD|XP_031366453.1	AD	XP_031366453.1	LOC102676127	OG0008329	XM_031510593.1	977	5070	XP_031366453.1 uncharacterized protein LOC102676127 [Apis dorsata]
AD|XP_031366454.1	AD	XP_031366454.1	LOC116184846	OG0005665	XM_031510594.1	341	2388	XP_031366454.1 RNA-binding protein fusilli-like [Apis dorsata]
AD|XP_031366455.1	AD	XP_031366455.1	LOC102674032	OG0006558	XM_031510595.1	55	1470	XP_031366455.1 GPI mannosyltransferase 3 isoform X1 [Apis dorsata]
AD|XP_031366456.1	AD	XP_031366456.1	LOC102675506	OG0009468	XM_031510596.1	265	372	XP_031366456.1 protein transport protein sec31-like [Apis dorsata]
AD|XP_031366457.1	AD	XP_031366457.1	LOC102674417	OG0000029	XM_031510597.1	285	900	XP_031366457.1 uncharacterized protein LOC102674417 isoform X1 [Apis dorsata]
AD|XP_031366460.1	AD	XP_031366460.1	LOC102674169	OG0008269	XM_031510600.1	240	1917	XP_031366460.1 double-strand break repair protein MRE11 [Apis dorsata]
AD|XP_031366463.1	AD	XP_031366463.1	LOC102677252	OG0002533	XM_031510603.1	0	2502	XP_031366463.1 DDB1- and CUL4-associated factor 6-like isoform X1 [Apis dorsata]
AD|XP_031366466.1	AD	XP_031366466.1	LOC102681901	OG0001996	XM_031510606.1	10	2187	XP_031366466.1 glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 isoform X1 [Apis dorsata]
AD|XP_031366470.1	AD	XP_031366470.1	LOC102677929	OG0001534	XM_031510610.1	522	1929	XP_031366470.1 calcium/calmodulin-dependent protein kinase type II alpha chain isoform X1 [Apis dorsata]
AD|XP_031366475.1	AD	XP_031366475.1	LOC102681438	OG0008531	XM_031510615.1	55	3624	XP_031366475.1 protein similar-like isoform X1 [Apis dorsata]
AD|XP_031366476.1	AD	XP_031366476.1	LOC102681681		XM_031510616.1	532	366	XP_031366476.1 uncharacterized protein LOC102681681 isoform X1 [Apis dorsata]
AD|XP_031366481.1	AD	XP_031366481.1	LOC102673971	OG0006066	XM_031510621.1	660	1887	XP_031366481.1 uncharacterized protein LOC102673971 [Apis dorsata]
AD|XP_031366482.1	AD	XP_031366482.1	LOC116184868	OG0000378	XM_031510622.1	357	984	XP_031366482.1 sodium channel protein Nach-like [Apis dorsata]
AD|XP_031366483.1	AD	XP_031366483.1	LOC102675457	OG0000378	XM_031510623.1	117	717	XP_031366483.1 sodium channel protein Nach-like [Apis dorsata]
AD|XP_031366484.1	AD	XP_031366484.1	LOC102681458	OG0006113	XM_031510624.1	196	10788	XP_031366484.1 uncharacterized protein LOC102681458 [Apis dorsata]
AD|XP_031366486.1	AD	XP_031366486.1	LOC102677298	OG0004962	XM_031510626.1	249	927	XP_031366486.1 leukocyte receptor cluster member 1 [Apis dorsata]
AD|XP_031366488.1	AD	XP_031366488.1	LOC102681595	OG0000692	XM_031510628.1	224	1911	XP_031366488.1 LOW QUALITY PROTEIN: toll-like receptor Tollo [Apis dorsata]
AD|XP_031366489.1	AD	XP_031366489.1	LOC102680521	OG0007735	XM_031510629.1	44	1380	XP_031366489.1 beta-1,3-galactosyltransferase brn [Apis dorsata]
AD|XP_031366490.1	AD	XP_031366490.1	LOC102681734	OG0004950	XM_031510630.1	31	714	XP_031366490.1 uncharacterized protein LOC102681734 [Apis dorsata]
AD|XP_031366492.1	AD	XP_031366492.1	LOC116185673	OG0009303	XM_031510632.1	53	384	XP_031366492.1 allatotropin-like [Apis dorsata]
AD|XP_031366498.1	AD	XP_031366498.1	LOC102676822	OG0008723	XM_031510638.1	270	3963	XP_031366498.1 putative uncharacterized protein DDB_G0282133 isoform X1 [Apis dorsata]
AD|XP_031366502.1	AD	XP_031366502.1	LOC102676685	OG0004952	XM_031510642.1	15	1317	XP_031366502.1 probable E3 ubiquitin-protein ligase RNF144A isoform X1 [Apis dorsata]
AD|XP_031366503.1	AD	XP_031366503.1	LOC116185674		XM_031510643.1	78	276	XP_031366503.1 striatin-like [Apis dorsata]
AD|XP_031366505.1	AD	XP_031366505.1	LOC116185675	OG0009090	XM_031510645.1	423	1002	XP_031366505.1 uncharacterized protein LOC116185675 [Apis dorsata]
AD|XP_031366511.1	AD	XP_031366511.1	LOC102681120	OG0001461	XM_031510651.1	124	3477	XP_031366511.1 blastoderm-specific protein 25D [Apis dorsata]
AD|XP_031366515.1	AD	XP_031366515.1	LOC102681242	OG0001468	XM_031510655.1	91	942	XP_031366515.1 T-cell leukemia homeobox protein 3-like [Apis dorsata]
AD|XP_031366516.1	AD	XP_031366516.1	LOC102681506	OG0001405	XM_031510656.1	203	831	XP_031366516.1 ubiquitin-like-conjugating enzyme ATG3 [Apis dorsata]
AD|XP_031366517.1	AD	XP_031366517.1	LOC116185677	OG0006027	XM_031510657.1	0	510	XP_031366517.1 uncharacterized protein LOC116185677 [Apis dorsata]
AD|XP_031366521.1	AD	XP_031366521.1	LOC102673809	OG0005198	XM_031510661.1	376	729	XP_031366521.1 mitochondrial fission regulator 2-like isoform X2 [Apis dorsata]
AD|XP_031366522.1	AD	XP_031366522.1	LOC102673045	OG0000465	XM_031510662.1	0	1845	XP_031366522.1 LOW QUALITY PROTEIN: glucose dehydrogenase [FAD, quinone]-like, partial [Apis dorsata]
AD|XP_031366528.1	AD	XP_031366528.1	LOC102676186	OG0003185	XM_031510668.1	104	1032	XP_031366528.1 pentatricopeptide repeat-containing protein 2, mitochondrial-like [Apis dorsata]
AD|XP_031366530.1	AD	XP_031366530.1	LOC102676048		XM_031510670.1	267	1158	XP_031366530.1 LOW QUALITY PROTEIN: neurotactin-like, partial [Apis dorsata]
AD|XP_031366531.1	AD	XP_031366531.1	LOC102670988	OG0003190	XM_031510671.1	173	1155	XP_031366531.1 thyrotroph embryonic factor-like isoform X1 [Apis dorsata]
AD|XP_031366539.1	AD	XP_031366539.1	LOC102670671	OG0003191	XM_031510679.1	1562	627	XP_031366539.1 histone H1, gonadal-like isoform X1 [Apis dorsata]
AD|XP_031366541.1	AD	XP_031366541.1	LOC102677799		XM_031510681.1	685	1092	XP_031366541.1 uncharacterized protein LOC102677799 [Apis dorsata]
AD|XP_031366542.1	AD	XP_031366542.1	LOC102677930	OG0001215	XM_031510682.1	151	1644	XP_031366542.1 uncharacterized protein LOC102677930 [Apis dorsata]
AD|XP_031366547.1	AD	XP_031366547.1	LOC102681925	OG0007983	XM_031510687.1	124	516	XP_031366547.1 MIP18 family protein galla-1 isoform X2 [Apis dorsata]
AD|XP_031366549.1	AD	XP_031366549.1	LOC116185695		XM_031510689.1	0	342	XP_031366549.1 uncharacterized protein LOC116185695, partial [Apis dorsata]
AD|XP_031366553.1	AD	XP_031366553.1	LOC102671777	OG0006598	XM_031510693.1	615	1821	XP_031366553.1 leupaxin isoform X7 [Apis dorsata]
AD|XP_031366554.1	AD	XP_031366554.1	LOC102671643	OG0009220	XM_031510694.1	240	873	XP_031366554.1 X-box-binding protein 1 isoform X1 [Apis dorsata]
AD|XP_031366581.1	AD	XP_031366581.1	LOC116185702	OG0003977	XM_031510721.1	24	1791	XP_031366581.1 histone-lysine N-methyltransferase PRDM16-like [Apis dorsata]
AD|XP_031366582.1	AD	XP_031366582.1	LOC102679661	OG0008831	XM_031510722.1	179	3384	XP_031366582.1 DNA excision repair protein ERCC-6-like isoform X1 [Apis dorsata]
AD|XP_031366586.1	AD	XP_031366586.1	LOC116185703	OG0000464	XM_031510726.1	30	1914	XP_031366586.1 glucose dehydrogenase [FAD, quinone]-like [Apis dorsata]
AD|XP_031366588.1	AD	XP_031366588.1	LOC102679543	OG0004017	XM_031510728.1	0	1425	XP_031366588.1 LOW QUALITY PROTEIN: ELMO domain-containing protein C-like [Apis dorsata]
AD|XP_031366589.1	AD	XP_031366589.1	LOC102680574	OG0004024	XM_031510729.1	156	1059	XP_031366589.1 transmembrane protein 120 homolog isoform X1 [Apis dorsata]
AD|XP_031366591.1	AD	XP_031366591.1	LOC102673705	OG0003880	XM_031510731.1	274	1713	XP_031366591.1 TNF receptor-associated factor family protein DDB_G0272098-like isoform X1 [Apis dorsata]
AD|XP_031366597.1	AD	XP_031366597.1	LOC102676513	OG0003975	XM_031510737.1	265	2277	XP_031366597.1 uncharacterized protein LOC102676513 isoform X1 [Apis dorsata]
AD|XP_031366601.1	AD	XP_031366601.1	LOC102681991	OG0001885	XM_031510741.1	233	2658	XP_031366601.1 ecotropic viral integration site 5 ortholog isoform X1 [Apis dorsata]
AD|XP_031366605.1	AD	XP_031366605.1	LOC102671488	OG0000433	XM_031510745.1	152	56337	XP_031366605.1 uncharacterized protein LOC102671488 [Apis dorsata]
AD|XP_031366606.1	AD	XP_031366606.1	LOC102681636	OG0000664	XM_031510746.1	627	4371	XP_031366606.1 receptor-type guanylate cyclase Gyc76C-like [Apis dorsata]
AD|XP_031366608.1	AD	XP_031366608.1	LOC102671364	OG0000663	XM_031510748.1	137	3966	XP_031366608.1 guanylate cyclase 32E [Apis dorsata]
AD|XP_031366612.1	AD	XP_031366612.1	LOC102672015	OG0000588	XM_031510752.1	127	6117	XP_031366612.1 LOW QUALITY PROTEIN: Down syndrome cell adhesion molecule-like protein Dscam2 [Apis dorsata]
AD|XP_031366613.1	AD	XP_031366613.1	LOC102674259	OG0001853	XM_031510753.1	340	1560	XP_031366613.1 cyclin-dependent kinase 14 isoform X1 [Apis dorsata]
AD|XP_031366617.1	AD	XP_031366617.1	LOC102676050	OG0004405	XM_031510757.1	1056	7020	XP_031366617.1 mucin-5AC-like isoform X1 [Apis dorsata]
AD|XP_031366623.1	AD	XP_031366623.1	LOC102675826	OG0006406	XM_031510763.1	253	2190	XP_031366623.1 sodium/hydrogen exchanger 8 isoform X1 [Apis dorsata]
AD|XP_031366624.1	AD	XP_031366624.1	LOC102676560	OG0009200	XM_031510764.1	2	684	XP_031366624.1 polyadenylate-binding protein 2-B [Apis dorsata]
AD|XP_031366627.1	AD	XP_031366627.1	LOC102677209	OG0000079	XM_031510767.1	142	540	XP_031366627.1 phospholipase A2-like isoform X1 [Apis dorsata]
AD|XP_031366628.1	AD	XP_031366628.1	LOC116185711	OG0009566	XM_031510768.1	263	360	XP_031366628.1 uncharacterized protein LOC116185711 [Apis dorsata]
AD|XP_031366629.1	AD	XP_031366629.1	LOC102674900	OG0005499	XM_031510769.1	431	1104	XP_031366629.1 solute carrier family 25 member 40-like [Apis dorsata]
AD|XP_031366630.1	AD	XP_031366630.1	LOC102679455	OG0009825	XM_031510770.1	67	624	XP_031366630.1 uncharacterized protein LOC102679455 isoform X1 [Apis dorsata]
AD|XP_031366632.1	AD	XP_031366632.1	LOC116185714	OG0000002	XM_031510772.1	132	1473	XP_031366632.1 major royal jelly protein 5 [Apis dorsata]
AD|XP_031366635.1	AD	XP_031366635.1	LOC102680437	OG0003686	XM_031510775.1	168	1236	XP_031366635.1 protein yellow-like [Apis dorsata]
AD|XP_031366637.1	AD	XP_031366637.1	LOC102679019	OG0000881	XM_031510777.1	28	1125	XP_031366637.1 protein yellow-like [Apis dorsata]
AD|XP_031366638.1	AD	XP_031366638.1	LOC116184856	OG0000002	XM_031510778.1	4	1290	XP_031366638.1 major royal jelly protein 5-like [Apis dorsata]
AD|XP_031366639.1	AD	XP_031366639.1	LOC102677848	OG0000002	XM_031510779.1	130	2754	XP_031366639.1 protein PF14_0175-like [Apis dorsata]
AD|XP_031366640.1	AD	XP_031366640.1	LOC116185718	OG0005793	XM_031510780.1	137	2217	XP_031366640.1 leucine-rich repeat transmembrane protein FLRT1-like [Apis dorsata]
AD|XP_031366644.1	AD	XP_031366644.1	LOC102674444	OG0005419	XM_031510784.1	329	3714	XP_031366644.1 serine/threonine-protein kinase GIN4-like isoform X1 [Apis dorsata]
AD|XP_031366653.1	AD	XP_031366653.1	LOC102673373	OG0005427	XM_031510793.1	15	1293	XP_031366653.1 uncharacterized protein LOC102673373 [Apis dorsata]
AD|XP_031366654.1	AD	XP_031366654.1	LOC102676051	OG0003681	XM_031510794.1	134	1038	XP_031366654.1 obg-like ATPase 1, partial [Apis dorsata]
AD|XP_031366655.1	AD	XP_031366655.1	LOC102672535	OG0007737	XM_031510795.1	248	3645	XP_031366655.1 protein brunelleschi isoform X1 [Apis dorsata]
AD|XP_031366658.1	AD	XP_031366658.1	LOC102677254	OG0005418	XM_031510798.1	7	696	XP_031366658.1 cytochrome b5 domain-containing protein 1 [Apis dorsata]
AD|XP_031366659.1	AD	XP_031366659.1	LOC102677387	OG0000315	XM_031510799.1	0	2961	XP_031366659.1 potassium voltage-gated channel subfamily H member 8 [Apis dorsata]
AD|XP_031366660.1	AD	XP_031366660.1	LOC102677108	OG0005435	XM_031510800.1	515	753	XP_031366660.1 uncharacterized protein LOC102677108 isoform X1 [Apis dorsata]
AD|XP_031366662.1	AD	XP_031366662.1	LOC102677523	OG0004215	XM_031510802.1	80	921	XP_031366662.1 transcription factor Sp5 [Apis dorsata]
AD|XP_031366664.1	AD	XP_031366664.1	LOC102674650	OG0005423	XM_031510804.1	15	1920	XP_031366664.1 death-associated protein kinase related-like isoform X1 [Apis dorsata]
AD|XP_031366668.1	AD	XP_031366668.1	LOC116185725	OG0001167	XM_031510808.1	15	441	XP_031366668.1 troponin C-like [Apis dorsata]
AD|XP_031366669.1	AD	XP_031366669.1	LOC102677983	OG0005346	XM_031510809.1	799	3936	XP_031366669.1 latrophilin Cirl-like isoform X1 [Apis dorsata]
AD|XP_031366681.1	AD	XP_031366681.1	LOC116185727	OG0003925	XM_031510821.1	81	630	XP_031366681.1 uncharacterized protein LOC116185727 [Apis dorsata]
AD|XP_031366682.1	AD	XP_031366682.1	LOC102678807	OG0002855	XM_031510822.1	176	1758	XP_031366682.1 uncharacterized protein LOC102678807 isoform X1 [Apis dorsata]
AD|XP_031366684.1	AD	XP_031366684.1	LOC102676755	OG0003879	XM_031510824.1	762	426	XP_031366684.1 N-acylneuraminate-9-phosphatase [Apis dorsata]
